RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,Password,Email,Role
1,15634602,Hargrave,619,France,1,42,2,0.0,1,1,1,3,1,6,1234,9e79_15634602@gmail.com,ROLE_USER
2,15647311,Hill,608,Spain,1,41,1,83807.86,1,0,1,3,0,6,1234,b5dd_15647311@gmail.com,ROLE_USER
3,15619304,Onio,502,France,1,42,8,159660.8,3,1,0,3,1,6,1234,8e76_15619304@gmail.com,ROLE_USER
4,15701354,Boni,699,France,1,39,1,0.0,2,0,0,2,0,6,1234,9a73_15701354@gmail.com,ROLE_USER
5,15737888,Mitchell,850,Spain,1,43,2,125510.82,1,1,1,2,0,6,1234,ae62_15737888@gmail.com,ROLE_USER
6,15574012,Chu,645,Spain,0,44,8,113755.78,2,1,0,4,1,6,1234,9c35_15574012@gmail.com,ROLE_USER
7,15592531,Bartlett,822,France,0,50,7,0.0,2,1,1,1,0,6,1234,9694_15592531@gmail.com,ROLE_USER
8,15656148,Obinna,376,Germany,1,29,4,115046.74,4,1,0,3,1,5,1234,bbac_15656148@gmail.com,ROLE_USER
9,15792365,He,501,France,0,44,4,142051.07,2,0,1,2,0,6,1234,a347_15792365@gmail.com,ROLE_USER
10,15592389,H?,684,France,0,27,2,134603.88,1,1,1,2,0,5,1234,bea6_15592389@gmail.com,ROLE_USER
11,15767821,Bearce,528,France,0,31,6,102016.72,2,0,0,2,0,5,1234,a56b_15767821@gmail.com,ROLE_USER
12,15737173,Andrews,497,Spain,0,24,3,0.0,2,1,0,2,0,4,1234,bc22_15737173@gmail.com,ROLE_USER
13,15632264,Kay,476,France,1,34,10,0.0,2,1,0,1,0,5,1234,91a6_15632264@gmail.com,ROLE_USER
14,15691483,Chin,549,France,1,25,5,0.0,2,0,0,4,0,5,1234,8f7b_15691483@gmail.com,ROLE_USER
15,15600882,Scott,635,Spain,1,35,7,0.0,2,1,1,2,0,5,1234,8224_15600882@gmail.com,ROLE_USER
16,15643966,Goforth,616,Germany,0,45,3,143129.41,2,0,1,2,0,6,1234,81df_15643966@gmail.com,ROLE_USER
17,15737452,Romeo,653,Germany,0,58,1,132602.88,1,1,0,1,1,6,1234,886c_15737452@gmail.com,ROLE_USER
18,15788218,Henderson,549,Spain,1,24,9,0.0,2,1,1,1,0,4,1234,8315_15788218@gmail.com,ROLE_USER
19,15661507,Muldrow,587,Spain,0,45,6,0.0,1,0,0,4,0,6,1234,b1a2_15661507@gmail.com,ROLE_USER
20,15568982,Hao,726,France,1,24,6,0.0,2,1,1,2,0,4,1234,8dcb_15568982@gmail.com,ROLE_USER
21,15577657,McDonald,732,France,0,41,8,0.0,2,1,1,4,0,6,1234,9406_15577657@gmail.com,ROLE_USER
22,15597945,Dellucci,636,Spain,1,32,8,0.0,2,1,0,3,0,5,1234,8a22_15597945@gmail.com,ROLE_USER
23,15699309,Gerasimov,510,Spain,1,38,4,0.0,1,1,0,3,1,6,1234,bf95_15699309@gmail.com,ROLE_USER
24,15725737,Mosman,669,France,0,46,3,0.0,2,0,1,1,0,6,1234,8769_15725737@gmail.com,ROLE_USER
25,15625047,Yen,846,France,1,38,5,0.0,1,1,1,4,0,6,1234,8726_15625047@gmail.com,ROLE_USER
26,15738191,Maclean,577,France,0,25,3,0.0,2,0,1,3,0,5,1234,befe_15738191@gmail.com,ROLE_USER
27,15736816,Young,756,Germany,0,36,2,136815.64,1,1,1,4,0,6,1234,a34c_15736816@gmail.com,ROLE_USER
28,15700772,Nebechi,571,France,0,44,9,0.0,2,0,0,1,0,6,1234,a167_15700772@gmail.com,ROLE_USER
29,15728693,McWilliams,574,Germany,1,43,3,141349.43,1,1,1,2,0,6,1234,ad5f_15728693@gmail.com,ROLE_USER
30,15656300,Lucciano,411,France,0,29,0,59697.17,2,1,1,2,0,5,1234,a0ba_15656300@gmail.com,ROLE_USER
31,15589475,Azikiwe,591,Spain,1,39,3,0.0,3,1,0,3,1,6,1234,a00d_15589475@gmail.com,ROLE_USER
32,15706552,Odinakachukwu,533,France,0,36,7,85311.7,1,0,1,4,0,6,1234,9223_15706552@gmail.com,ROLE_USER
33,15750181,Sanderson,553,Germany,0,41,9,110112.54,2,0,0,2,0,6,1234,91ff_15750181@gmail.com,ROLE_USER
34,15659428,Maggard,520,Spain,1,42,6,0.0,2,1,1,1,0,6,1234,9991_15659428@gmail.com,ROLE_USER
35,15732963,Clements,722,Spain,1,29,9,0.0,2,1,1,3,0,5,1234,8ee7_15732963@gmail.com,ROLE_USER
36,15794171,Lombardo,475,France,1,45,0,134264.04,1,1,0,1,1,6,1234,a0b6_15794171@gmail.com,ROLE_USER
37,15788448,Watson,490,Spain,0,31,3,145260.23,1,0,1,3,0,5,1234,92d7_15788448@gmail.com,ROLE_USER
38,15729599,Lorenzo,804,Spain,0,33,7,76548.6,1,0,1,2,0,5,1234,b7b1_15729599@gmail.com,ROLE_USER
39,15717426,Armstrong,850,France,0,36,7,0.0,1,1,1,1,0,6,1234,b68f_15717426@gmail.com,ROLE_USER
40,15585768,Cameron,582,Germany,0,41,6,70349.48,2,0,1,4,0,6,1234,bd55_15585768@gmail.com,ROLE_USER
41,15619360,Hsiao,472,Spain,0,40,4,0.0,1,1,0,2,0,6,1234,8913_15619360@gmail.com,ROLE_USER
